region,lat,long
Béni Mellal-Khénifra,32.4625395,-6.3543282
Fès-Meknès,33.8333136,-4.8556382
Oriental,33.3202138,-2.4238471
Casablanca-Settat,33.2627128,-7.9639028
Guelmim-Oued Noun,28.5273703,-10.0315515
Rabat-Salé-Kénitra,33.9204332,-6.3676093
Eddakhla-Oued Eddahab,23.28371,-15.0202622
Laayoune-Sakia El Hamra,27.1500384,-13.1990758
Souss-Massa,30.187722,-8.6322498
Drâa-Tafilalet,31.1835432,-5.1395435
Marrakech-Safi,31.6048574,-8.3654032
Tanger-Tétouan-Al Hoceima,35.202941,-5.5510167
